,gamePlayId,tackle,firstContact,tackleTime,ConvexHullFirstContact,ConvexHulltackle,ConvexHullTackle5y,ConvexHullFirstContact5y
0,202209080056,18,22,-4.0,479.362397930908,485.4066681777955,2.4516999633788856,2.0511495590210043
1,202209080080,26,20,6.0,622.3217500000003,540.0745499999999,5.351100000000014,3.5247000000000313
2,2022090800101,45,38,7.0,333.91140000000007,369.89975,20.904700000000076,22.785149999999867
3,2022090800122,29,20,9.0,990.6952357498166,1069.4491499999997,6.111300000000015,3.0426965667724377
4,2022090800146,52,38,14.0,358.8556500000001,254.6726,8.903900000000004,8.160349999999962
5,2022090800167,18,14,4.0,499.25185000000016,471.4553,5.706699887847902,12.411399999999986
6,2022090800191,47,41,6.0,269.26285000000007,243.23179999999985,16.965650000000014,21.444199999999995
7,2022090800212,12,8,4.0,744.5499000000002,751.6427999999997,0.0070999877929683285,0.03414996871948134
8,2022090800299,49,32,17.0,244.27129999999997,178.7807,23.25989999999998,24.46849999999999
9,2022090800343,35,36,-1.0,189.9822,198.41385,21.151749999999968,20.78279999999998
10,2022090800393,52,31,21.0,246.00345,123.41040000000008,22.760849999999998,31.609649999999988
11,2022090800414,35,30,5.0,889.9732608207702,921.2009488178728,9.919648817873005,7.374102780151318
12,2022090800486,25,7,18.0,694.8183999999999,556.4310500000001,1.058149999999994,0.1367004600524826
13,2022090800529,50,37,13.0,219.1432500000002,129.81635000000003,12.324800000000016,16.81579999999994
14,2022090800569,8,7,1.0,526.7300000000002,532.5038499999999,2.205699999999992,2.0215000000000054
15,2022090800593,29,20,9.0,421.4953499999999,408.54695000000015,3.718198745918305,6.1439500000000065
16,2022090800617,16,9,7.0,632.2398362682343,699.7273500320347,0.01479999996423392,0.01644949378968443
17,2022090800646,34,22,12.0,905.750165430832,848.1306,4.166399999999996,0.2232517467498728
18,2022090800692,33,22,11.0,453.2166,310.0852000000001,24.44299999999997,4.425799482727021
19,2022090800775,17,12,5.0,880.4505000000001,863.8456500000002,0.3611999999999942,0.17769995269777433
20,2022090800818,26,13,13.0,665.921850679302,475.9039512725832,1.9027008491516089,0.09320067930220545
21,2022090800933,65,32,33.0,388.9401500000001,224.4987500000001,27.13395,17.967150000000018
22,20220908001030,16,8,8.0,640.9785999999998,592.7510000000001,9.264300000000004,9.502800000000011
